Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34
88;Steve Cook;eng ENG;DF;Nott'ham Forest;31-190;1991;10;9;778;8.6;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.6;0.6;0.00;0.07;0.07;0.00;0.07;Matches;3e5e4e63
89;Liam Cooper;sct SCO;DF;Leeds United;31-057;1991;5;4;405;4.5;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.4;0.6;0.04;0.10;0.14;0.04;0.14;Matches;dc64b8b3
90;Maxwel Cornet;ci CIV;MFFW;West Ham;26-029;1996;5;1;91;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.5;0.5;0.0;0.5;0.53;0.00;0.53;0.53;0.53;Matches;beb391dd
91;Diego Costa;es ESP;FW;Wolves;34-019;1988;5;4;323;3.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;1.1;1.1;0.1;1.2;0.31;0.03;0.34;0.31;0.34;Matches;a190d597
92;Vladimír Coufal;cz CZE;DFMF;West Ham;30-065;1992;9;7;685;7.6;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.6;0.7;0.01;0.08;0.10;0.01;0.10;Matches;fdf3cb77
93;Philippe Coutinho;br BRA;MFFW;Aston Villa;30-136;1992;11;6;541;6.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;1.0;1.0;0.3;1.3;0.16;0.05;0.21;0.16;0.21;Matches;0ef89a37
94;Conor Coventry;ie IRL;MFFW;West Ham;22-215;2000;1;0;1;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;a5ca9127
95;Aaron Cresswell;eng ENG;DF;West Ham;32-315;1989;11;11;970;10.8;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;2.0;2.3;0.02;0.19;0.21;0.02;0.21;Matches;4f974391
96;Marc Cucurella;es ESP;DF;Chelsea;24-096;1998;10;9;676;7.5;0;2;0;0;0;2;0;0.00;0.27;0.27;0.00;0.27;0.3;0.3;0.3;0.6;0.04;0.04;0.07;0.04;0.07;Matches;1daec722
97;Patson Daka;zm ZAM;FW;Leicester City;24-017;1998;11;5;486;5.4;3;1;3;0;0;2;0;0.56;0.19;0.74;0.56;0.74;1.5;1.5;1.5;3.0;0.29;0.28;0.56;0.29;0.56;Matches;ca45605e
98;Diogo Dalot;pt POR;DF;Manchester Utd;23-222;1999;11;11;985;10.9;0;1;0;0;0;4;0;0.00;0.09;0.09;0.00;0.09;0.6;0.6;1.1;1.7;0.06;0.10;0.16;0.06;0.16;Matches;d9565625
99;Mikkel Damsgaard;dk DEN;MFFW;Brentford;22-115;2000;7;1;182;2.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.4;0.8;0.21;0.18;0.39;0.21;0.39;Matches;215f3907
100;Josh Dasilva;eng ENG;MF;Brentford;24-003;1998;12;5;521;5.8;2;0;2;0;0;1;0;0.35;0.00;0.35;0.35;0.35;0.3;0.3;0.2;0.5;0.05;0.04;0.09;0.05;0.09;Matches;60344e4f
101;Ben Davies;wls WAL;DF;Tottenham;29-185;1993;9;8;725;8.1;0;1;0;0;0;1;0;0.00;0.12;0.12;0.00;0.12;0.2;0.2;0.7;0.9;0.02;0.09;0.11;0.02;0.11;Matches;44781702
102;Tom Davies;eng ENG;MF;Everton;24-118;1998;7;3;298;3.3;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.5;0.5;0.1;0.7;0.16;0.04;0.20;0.16;0.20;Matches;9228b07c
103;Craig Dawson;eng ENG;DF;West Ham;32-173;1990;2;2;180;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;3e9e06cb
104;Kevin De Bruyne;be BEL;MF;Manchester City;31-120;1991;11;10;861;9.6;2;9;2;0;0;0;0;0.21;0.94;1.15;0.21;1.15;2.1;2.1;5.1;7.2;0.22;0.53;0.75;0.22;0.75;Matches;e46012d4
105;Siriki Dembélé;ci CIV;DF;Bournemouth;26-049;1996;1;0;8;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;11f54bd5
106;Leander Dendoncker;be BEL;MF;Wolves;27-194;1995;4;2;214;2.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;0.0;0.7;0.27;0.02;0.29;0.27;0.29;Matches;5a7301ae
107;Leander Dendoncker;be BEL;MF;Aston Villa;27-194;1995;5;1;135;1.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.4;0.4;0.03;0.24;0.27;0.03;0.27;Matches;5a7301ae
108;Emmanuel Dennis;ng NGA;FW;Nott'ham Forest;24-345;1997;7;2;232;2.6;1;0;1;0;0;2;0;0.39;0.00;0.39;0.39;0.39;0.4;0.4;0.3;0.6;0.14;0.10;0.24;0.14;0.24;Matches;2c44a35d
109;Halil Dervişoğlu;tr TUR;MF;Brentford;22-322;1999;1;0;8;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.31;0.00;0.31;0.31;0.31;Matches;9d8cf204
110;Kiernan Dewsbury-Hall;eng ENG;MF;Leicester City;24-050;1998;12;11;945;10.5;1;2;1;0;0;1;0;0.10;0.19;0.29;0.10;0.29;0.6;0.6;1.6;2.2;0.05;0.16;0.21;0.05;0.21;Matches;5c74c0f5
111;Ibrahima Diallo;fr FRA;MF;Southampton;23-232;1999;8;5;405;4.5;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.02;0.01;0.03;0.02;0.03;Matches;11ff3d56
112;Rúben Dias;pt POR;DF;Manchester City;25-165;1997;10;9;853;9.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.1;0.8;0.07;0.02;0.08;0.07;0.08;Matches;31c69ef1
113;Luis Díaz;co COL;FWMF;Liverpool;25-286;1997;8;7;613;6.8;3;2;3;0;0;2;0;0.44;0.29;0.73;0.44;0.73;1.7;1.7;1.0;2.7;0.26;0.15;0.40;0.26;0.40;Matches;4a1a9578
114;Eric Dier;eng ENG;DF;Tottenham;28-284;1994;12;12;1071;11.9;2;0;2;0;0;1;0;0.17;0.00;0.17;0.17;0.17;0.6;0.6;0.5;1.0;0.05;0.04;0.09;0.05;0.09;Matches;ac861941
115;Lucas Digne;fr FRA;DF;Aston Villa;29-098;1993;7;7;630;7.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.5;0.6;0.02;0.07;0.09;0.02;0.09;Matches;1b84dbe1
116;Issa Diop;fr FRA;DF;Fulham;25-290;1997;5;3;328;3.6;1;0;1;0;0;1;0;0.27;0.00;0.27;0.27;0.27;0.3;0.3;0.0;0.3;0.07;0.00;0.07;0.07;0.07;Matches;a712ca2b
117;Moussa Djenepo;ml MLI;DFMF;Southampton;24-133;1998;9;5;509;5.7;0;1;0;0;0;0;0;0.00;0.18;0.18;0.00;0.18;0.1;0.1;0.2;0.3;0.03;0.03;0.05;0.03;0.05;Matches;254147d4
118;Matt Doherty;ie IRL;DF;Tottenham;30-283;1992;6;3;294;3.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.1;0.3;0.09;0.02;0.10;0.09;0.10;Matches;d557d734
119;Gabriel Dos Santos;br BRA;DF;Arsenal;24-311;1997;11;11;990;11.0;1;0;1;0;0;1;0;0.09;0.00;0.09;0.09;0.09;1.3;1.3;0.2;1.5;0.12;0.01;0.14;0.12;0.14;Matches;67ac5bb8
120;Abdoulaye Doucouré;ml MLI;MF;Everton;29-298;1993;5;2;140;1.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.08;0.00;0.08;0.08;0.08;Matches;02b29014
121;Cheick Doucouré;ml MLI;MF;Crystal Palace;22-291;2000;10;10;803;8.9;0;1;0;0;0;4;0;0.00;0.11;0.11;0.00;0.11;0.3;0.3;0.9;1.2;0.03;0.10;0.14;0.03;0.14;Matches;ce4f40c7
122;Flynn Downes;eng ENG;MF;West Ham;23-279;1999;4;2;162;1.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.2;0.13;0.00;0.13;0.13;0.13;Matches;69fdb896
123;Cody Drameh;eng ENG;DF;Leeds United;20-322;2001;1;1;69;0.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;e0d1510a
124;Shane Duffy;ie IRL;FWDF;Fulham;30-298;1992;4;0;6;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;7314bba4
125;Lewis Dunk;eng ENG;DF;Brighton;30-339;1991;11;11;990;11.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;0.1;0.7;0.06;0.01;0.07;0.06;0.07;Matches;282f75f3
126;Malcolm Ebiowei;eng ENG;MF;Crystal Palace;19-052;2003;2;0;21;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;fa9fa773
127;Ederson;br BRA;GK;Manchester City;29-070;1993;11;11;990;11.0;0;1;0;0;0;0;0;0.00;0.09;0.09;0.00;0.09;0.0;0.0;0.4;0.4;0.00;0.03;0.03;0.00;0.03;Matches;3bb7b8b4
128;Odsonne Édouard;fr FRA;FW;Crystal Palace;24-283;1998;11;8;687;7.6;2;2;2;0;0;2;0;0.26;0.26;0.52;0.26;0.52;1.4;1.4;0.7;2.1;0.19;0.09;0.28;0.19;0.28;Matches;0562b7f1
129;Samuel Edozie;eng ENG;MF;Southampton;19-271;2003;5;0;82;0.9;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.03;0.08;0.11;0.03;0.11;Matches;007414dd
130;Anthony Elanga;se SWE;MF;Manchester Utd;20-182;2002;7;3;229;2.5;0;1;0;0;0;0;0;0.00;0.39;0.39;0.00;0.39;0.3;0.3;0.8;1.1;0.12;0.32;0.44;0.12;0.44;Matches;2fba6108
131;Harvey Elliott;eng ENG;MF;Liverpool;19-205;2003;11;7;660;7.3;1;0;1;0;0;0;0;0.14;0.00;0.14;0.14;0.14;1.0;1.0;1.8;2.8;0.13;0.25;0.38;0.13;0.38;Matches;c8387671
132;Mohamed Elneny;eg EGY;MF;Arsenal;30-107;1992;1;1;90;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;47a34c4f
133;Mohamed Elyounoussi;no NOR;MF;Southampton;28-083;1994;11;9;732;8.1;0;1;0;0;0;1;0;0.00;0.12;0.12;0.00;0.12;1.2;1.2;0.8;2.0;0.15;0.09;0.25;0.15;0.25;Matches;68dc0dac
134;Emerson;br BRA;DF;Tottenham;23-285;1999;9;8;714;7.9;0;1;0;0;0;1;1;0.00;0.13;0.13;0.00;0.13;0.4;0.4;0.2;0.6;0.04;0.03;0.07;0.04;0.07;Matches;df8b52a5
135;Christian Eriksen;dk DEN;MF;Manchester Utd;30-254;1992;10;9;785;8.7;0;2;0;0;0;1;0;0.00;0.23;0.23;0.00;0.23;1.4;1.4;1.0;2.4;0.16;0.11;0.27;0.16;0.27;Matches;980522ec
136;Pervis Estupiñán;ec ECU;DF;Brighton;24-278;1998;8;5;380;4.2;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;1.5;1.5;0.01;0.34;0.36;0.01;0.36;Matches;d38fdf53
137;Jonny Evans;nir NIR;DF;Leicester City;34-296;1988;9;9;810;9.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.2;0.02;0.00;0.02;0.02;0.02;Matches;f8fcd2a5
138;Eberechi Eze;eng ENG;MF;Crystal Palace;24-119;1998;11;11;910;10.1;2;2;2;0;0;0;0;0.20;0.20;0.40;0.20;0.40;1.6;1.6;1.7;3.3;0.16;0.17;0.32;0.16;0.32;Matches;ae4fc6a4
139;Łukasz Fabiański;pl POL;GK;West Ham;37-191;1985;12;12;1018;11.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;9328b835
140;Fabinho;br BRA;MF;Liverpool;29-003;1993;11;8;758;8.4;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.4;0.6;0.02;0.05;0.07;0.02;0.07;Matches;7f3b388c
141;Wout Faes;be BEL;DF;Leicester City;24-206;1998;6;6;540;6.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.3;0.5;0.04;0.04;0.09;0.04;0.09;Matches;9c221d14
142;Bruno Fernandes;pt POR;MF;Manchester Utd;28-048;1994;11;11;989;11.0;2;1;2;0;0;4;0;0.18;0.09;0.27;0.18;0.27;1.9;1.9;2.4;4.3;0.17;0.22;0.39;0.17;0.39;Matches;507c7bdf
143;Roberto Firmino;br BRA;FWMF;Liverpool;31-024;1991;10;8;692;7.7;6;3;6;0;0;0;0;0.78;0.39;1.17;0.78;1.17;3.5;3.5;1.6;5.1;0.45;0.21;0.66;0.45;0.66;Matches;4c370d81
144;Junior Firpo;es ESP;DF;Leeds United;26-065;1996;2;1;114;1.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.10;0.10;0.00;0.10;Matches;24f59bb2
145;Phil Foden;eng ENG;FWMF;Manchester City;22-151;2000;11;10;777;8.6;6;4;6;0;0;1;0;0.69;0.46;1.16;0.69;1.16;3.3;3.3;1.7;5.0;0.38;0.20;0.58;0.38;0.58;Matches;ed1e53f3
146;Wesley Fofana;fr FRA;DF;Chelsea;21-313;2000;2;2;180;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.01;0.00;0.01;0.01;0.01;Matches;132a82f1
147;Wesley Fofana;fr FRA;DF;Leicester City;21-313;2000;2;2;180;2.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.06;0.00;0.06;0.06;0.06;Matches;132a82f1
148;Pablo Fornals;es ESP;MFDF;West Ham;26-246;1996;11;9;745;8.3;1;0;1;0;0;0;0;0.12;0.00;0.12;0.12;0.12;0.6;0.6;0.5;1.0;0.07;0.05;0.13;0.07;0.13;Matches;82927de4
149;Adam Forshaw;eng ENG;MF;Leeds United;31-018;1991;3;0;50;0.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.4;0.4;0.00;0.79;0.79;0.00;0.79;Matches;9f1938ab
150;Tyrese Francois;au AUS;MF;Fulham;22-102;2000;1;0;1;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;6722d4f0
151;Ryan Fraser;sct SCO;FW;Newcastle Utd;28-244;1994;8;3;313;3.5;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.4;0.7;0.09;0.11;0.20;0.09;0.20;Matches;d56543a0
152;Fred;br BRA;MF;Manchester Utd;29-235;1993;10;4;386;4.3;1;0;1;0;0;2;0;0.23;0.00;0.23;0.23;0.23;0.7;0.7;0.8;1.5;0.16;0.18;0.34;0.16;0.34;Matches;b853e0ad
153;Ryan Fredericks;eng ENG;DF;Bournemouth;30-016;1992;6;4;366;4.1;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.03;0.03;0.00;0.03;Matches;c067631c
154;Remo Freuler;ch SUI;MF;Nott'ham Forest;30-194;1992;8;6;573;6.4;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.2;0.02;0.02;0.04;0.02;0.04;Matches;98d2c2c4
155;Conor Gallagher;eng ENG;MF;Chelsea;22-262;2000;9;5;303;3.4;1;0;1;0;0;2;1;0.30;0.00;0.30;0.30;0.30;0.2;0.2;0.7;0.9;0.06;0.20;0.26;0.06;0.26;Matches;c2731c10
156;Idrissa Gana Gueye;sn SEN;MF;Everton;33-030;1989;7;6;539;6.0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.01;0.01;0.00;0.01;Matches;72c812f3
157;Alejandro Garnacho;es ESP;MF;Manchester Utd;18-117;2004;1;0;1;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;7aa8adfe
158;James Garner;eng ENG;MF;Everton;21-227;2001;4;0;71;0.8;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.08;0.00;0.08;0.08;0.08;Matches;4e015693
159;David de Gea;es ESP;GK;Manchester Utd;31-353;1990;11;11;990;11.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.01;0.01;0.00;0.01;Matches;7ba6d84e
160;Joe Gelhardt;eng ENG;FWMF;Leeds United;20-175;2002;9;1;157;1.7;0;1;0;0;0;0;0;0.00;0.57;0.57;0.00;0.57;0.6;0.6;0.1;0.8;0.35;0.08;0.43;0.35;0.43;Matches;01962d0d
161;Saman Ghoddos;ir IRN;MFFW;Brentford;29-050;1993;5;0;33;0.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;f7b1d4e0
162;Morgan Gibbs-White;eng ENG;FWMF;Nott'ham Forest;22-272;2000;10;9;806;9.0;0;2;0;0;0;0;0;0.00;0.22;0.22;0.00;0.22;1.1;1.1;1.3;2.4;0.12;0.15;0.27;0.12;0.27;Matches;32f60ed8
163;Morgan Gibbs-White;eng ENG;MF;Wolves;22-272;2000;2;2;180;2.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;0.1;0.8;0.36;0.04;0.40;0.36;0.40;Matches;32f60ed8
164;Billy Gilmour;sct SCO;MF;Brighton;21-137;2001;3;0;7;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;df10e27c
165;Ben Godfrey;eng ENG;DF;Everton;24-284;1998;1;1;17;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;9f7c837d
166;Toti Gomes;pt POR;DF;Wolves;23-283;1999;2;2;180;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.02;0.02;0.00;0.02;Matches;f0caab96
167;Joe Gomez;eng ENG;DF;Liverpool;25-156;1997;9;7;703;7.8;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.2;0.2;0.01;0.02;0.03;0.01;0.03;Matches;7a11550b
168;Sergio Gómez;es ESP;DFMF;Manchester City;22-052;2000;5;0;111;1.2;0;1;0;0;0;0;0;0.00;0.81;0.81;0.00;0.81;0.1;0.1;0.4;0.5;0.11;0.33;0.44;0.11;0.44;Matches;01e5f06e
169;Anthony Gordon;eng ENG;FWMF;Everton;21-244;2001;11;10;862;9.6;3;0;3;0;0;6;0;0.31;0.00;0.31;0.31;0.31;2.5;2.5;0.5;3.0;0.26;0.05;0.31;0.26;0.31;Matches;2bd83368
170;Demarai Gray;eng ENG;FWMF;Everton;26-120;1996;12;12;1029;11.4;1;0;1;0;0;1;0;0.09;0.00;0.09;0.09;0.09;2.1;2.1;1.3;3.4;0.18;0.11;0.29;0.18;0.29;Matches;4468ec10
171;Jack Grealish;eng ENG;FWMF;Manchester City;27-046;1995;6;4;394;4.4;1;0;1;0;0;0;0;0.23;0.00;0.23;0.23;0.23;0.7;0.7;1.0;1.7;0.16;0.22;0.38;0.16;0.38;Matches;b0b4fd3e
172;Sam Greenwood;eng ENG;MF;Leeds United;20-273;2002;4;1;106;1.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.3;0.21;0.04;0.25;0.21;0.25;Matches;f3354c07
173;Pascal Groß;de GER;MFFW;Brighton;31-133;1991;11;11;922;10.2;3;2;3;0;0;1;0;0.29;0.20;0.49;0.29;0.49;2.4;2.4;3.2;5.6;0.24;0.31;0.55;0.24;0.55;Matches;8aec0537
174;Vicente Guaita;es ESP;GK;Crystal Palace;35-289;1987;11;11;990;11.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;ab13a5aa
175;Gonçalo Guedes;pt POR;FWMF;Wolves;25-331;1996;9;6;518;5.8;0;1;0;0;0;1;0;0.00;0.17;0.17;0.00;0.17;0.7;0.7;0.5;1.1;0.11;0.08;0.20;0.11;0.20;Matches;e6bc67d7
176;Marc Guéhi;eng ENG;DF;Crystal Palace;22-105;2000;11;11;990;11.0;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.1;0.4;0.02;0.01;0.03;0.02;0.03;Matches;d0706b27
177;Bruno Guimarães;br BRA;MF;Newcastle Utd;24-344;1997;9;9;730;8.1;2;2;2;0;0;1;0;0.25;0.25;0.49;0.25;0.49;0.6;0.6;1.2;1.8;0.07;0.15;0.22;0.07;0.22;Matches;82518f62
178;İlkay Gündoğan;de GER;MF;Manchester City;32-002;1990;9;7;622;6.9;2;1;2;0;0;0;0;0.29;0.14;0.43;0.29;0.43;1.5;1.5;1.9;3.4;0.22;0.28;0.49;0.22;0.49;Matches;819b3158
179;Erling Haaland;no NOR;FW;Manchester City;22-097;2000;11;11;920;10.2;17;3;15;2;2;0;0;1.66;0.29;1.96;1.47;1.76;9.9;8.4;2.2;10.5;0.97;0.21;1.18;0.82;1.03;Matches;1f44ac21
