Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34
180;Luke Harris;wls WAL;MF;Fulham;17-206;2005;1;0;4;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;8c3078cd
181;Jack Harrison;eng ENG;MF;Leeds United;25-340;1996;11;10;821;9.1;1;3;1;0;0;2;0;0.11;0.33;0.44;0.11;0.44;1.1;1.1;1.8;2.8;0.12;0.19;0.31;0.12;0.31;Matches;aa849a12
182;Kai Havertz;de GER;FWMF;Chelsea;23-137;1999;10;9;712;7.9;2;0;2;0;0;3;0;0.25;0.00;0.25;0.25;0.25;2.0;2.0;0.3;2.3;0.25;0.04;0.29;0.25;0.29;Matches;fed7cb61
183;Jan Paul van Hecke;nl NED;DF;Brighton;22-140;2000;1;0;3;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;4fd08daa
184;Hwang Hee-chan;kr KOR;FW;Wolves;26-273;1996;10;2;258;2.9;0;1;0;0;0;0;0;0.00;0.35;0.35;0.00;0.35;0.4;0.4;0.7;1.1;0.15;0.24;0.39;0.15;0.39;Matches;169fd162
185;Dean Henderson;eng ENG;GK;Nott'ham Forest;25-228;1997;12;12;1080;12.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;e5a76dfe
186;Jordan Henderson;eng ENG;MF;Liverpool;32-131;1990;10;7;600;6.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.9;1.2;0.05;0.13;0.19;0.05;0.19;Matches;935e6b8f
187;Rico Henry;eng ENG;DF;Brentford;25-110;1997;12;12;1076;12.0;0;1;0;0;0;0;0;0.00;0.08;0.08;0.00;0.08;0.5;0.5;0.7;1.2;0.04;0.06;0.10;0.04;0.10;Matches;8a3c1dc7
188;Son Heung-min;kr KOR;MFFW;Tottenham;30-110;1992;12;11;940;10.4;3;2;3;0;0;0;0;0.29;0.19;0.48;0.29;0.48;3.3;3.3;2.0;5.3;0.32;0.19;0.50;0.32;0.50;Matches;92e7e919
189;Aaron Hickey;sct SCO;DF;Brentford;20-138;2002;9;8;679;7.5;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.01;0.00;0.01;0.01;0.01;Matches;1780bb4a
190;Joseph Hodge;ie IRL;MF;Wolves;20-042;2002;3;0;79;0.9;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.07;0.00;0.07;0.07;0.07;Matches;bd8a5d95
191;Pierre Højbjerg;dk DEN;MF;Tottenham;27-082;1995;11;11;974;10.8;3;1;3;0;0;1;0;0.28;0.09;0.37;0.28;0.37;0.7;0.7;1.2;1.8;0.06;0.11;0.17;0.06;0.17;Matches;8b04d6c1
192;Rob Holding;eng ENG;DF;Arsenal;27-036;1995;3;0;13;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;d79a8c87
193;Mason Holgate;eng ENG;DF;Everton;26-004;1996;4;3;320;3.6;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.3;0.6;0.08;0.08;0.16;0.08;0.16;Matches;d0042ab9
194;Will Hughes;eng ENG;MF;Crystal Palace;27-192;1995;6;0;63;0.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.21;0.00;0.21;0.21;0.21;Matches;a0666d3e
195;Kelechi Iheanacho;ng NGA;FWMF;Leicester City;26-023;1996;9;1;199;2.2;1;1;1;0;0;0;0;0.45;0.45;0.90;0.45;0.90;1.3;1.3;0.5;1.8;0.57;0.22;0.79;0.57;0.79;Matches;c92e1a31
196;Danny Ings;eng ENG;FW;Aston Villa;30-095;1992;11;6;542;6.0;3;0;2;1;1;3;0;0.50;0.00;0.50;0.33;0.33;2.7;2.0;0.2;2.2;0.46;0.04;0.50;0.33;0.37;Matches;07802f7f
197;Alexander Isak;se SWE;FW;Newcastle Utd;23-035;1999;3;3;242;2.7;2;0;1;1;1;0;0;0.74;0.00;0.74;0.37;0.37;2.2;1.4;0.3;1.7;0.82;0.10;0.93;0.53;0.63;Matches;8e92be30
198;Alex Iwobi;ng NGA;MF;Everton;26-176;1996;12;12;1062;11.8;1;5;1;0;0;1;0;0.08;0.42;0.51;0.08;0.51;0.3;0.3;1.9;2.3;0.03;0.16;0.19;0.03;0.19;Matches;6ca5ec4b
199;Daniel James;wls WAL;MF;Fulham;24-350;1997;6;3;260;2.9;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.3;0.9;0.20;0.10;0.29;0.20;0.29;Matches;c931d9f9
200;Daniel James;wls WAL;MF;Leeds United;24-350;1997;4;2;198;2.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.3;0.6;0.12;0.15;0.27;0.12;0.27;Matches;c931d9f9
201;Reece James;eng ENG;DFMF;Chelsea;22-322;1999;7;6;559;6.2;1;1;1;0;0;3;0;0.16;0.16;0.32;0.16;0.32;0.7;0.7;1.6;2.2;0.11;0.25;0.36;0.11;0.36;Matches;1265a93a
202;Vitaly Janelt;de GER;MFDF;Brentford;24-169;1998;12;8;794;8.8;1;1;1;0;0;0;0;0.11;0.11;0.23;0.11;0.23;1.0;1.0;0.6;1.6;0.11;0.07;0.18;0.11;0.18;Matches;8449d35e
203;Pontus Jansson;se SWE;DF;Brentford;31-255;1991;6;6;514;5.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;172e52d8
204;Mathias Jensen;dk DEN;MF;Brentford;26-298;1996;12;12;916;10.2;1;2;1;0;0;1;0;0.10;0.20;0.29;0.10;0.29;0.5;0.5;1.5;1.9;0.05;0.15;0.19;0.05;0.19;Matches;0f134faf
205;Gabriel Jesus;br BRA;FW;Arsenal;25-206;1997;11;11;949;10.5;5;3;5;0;0;4;0;0.47;0.28;0.76;0.47;0.76;6.1;6.1;2.0;8.1;0.58;0.19;0.77;0.58;0.77;Matches;b66315ae
206;Raúl Jiménez;mx MEX;FW;Wolves;31-174;1991;3;2;212;2.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.8;0.8;0.4;1.2;0.33;0.19;0.51;0.33;0.51;Matches;b561db50
207;Joelinton;br BRA;MFFW;Newcastle Utd;26-073;1996;11;10;880;9.8;0;1;0;0;0;4;0;0.00;0.10;0.10;0.00;0.10;1.5;1.5;0.6;2.0;0.15;0.06;0.21;0.15;0.21;Matches;c17bfb65
208;Ben Johnson;eng ENG;DF;West Ham;22-275;2000;7;6;488;5.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.03;0.03;0.00;0.03;Matches;9319781b
209;Brennan Johnson;wls WAL;FWMF;Nott'ham Forest;21-156;2001;12;11;972;10.8;2;0;1;1;2;2;0;0.19;0.00;0.19;0.09;0.09;2.6;1.0;0.5;1.6;0.24;0.05;0.29;0.09;0.14;Matches;0cd31129
210;Curtis Jones;eng ENG;MFFW;Liverpool;21-269;2001;2;1;124;1.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.2;0.09;0.07;0.16;0.09;0.16;Matches;4fb9c88f
211;Mathias Jørgensen;dk DEN;DF;Brentford;32-186;1990;6;4;357;4.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.1;0.5;0.10;0.01;0.12;0.10;0.12;Matches;0db5d2c8
212;Jorginho;it ITA;MF;Chelsea;30-310;1991;11;9;723;8.0;2;0;0;2;2;2;0;0.25;0.00;0.25;0.00;0.00;1.7;0.1;0.2;0.3;0.21;0.03;0.24;0.01;0.04;Matches;45db685d
213;Diogo Jota;pt POR;MFFW;Liverpool;25-326;1996;4;2;196;2.2;0;1;0;0;0;1;0;0.00;0.46;0.46;0.00;0.46;0.8;0.8;0.8;1.6;0.35;0.38;0.73;0.35;0.73;Matches;178ae8f8
214;James Justin;eng ENG;DF;Leicester City;24-245;1998;12;12;1072;11.9;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.3;0.6;0.02;0.03;0.05;0.02;0.05;Matches;fb614c44
215;Sasa Kalajdzic;at AUT;FW;Wolves;25-111;1997;1;1;45;0.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.0;0.3;0.53;0.00;0.53;0.53;0.53;Matches;15f24fe7
216;Boubacar Kamara;fr FRA;MF;Aston Villa;22-337;1999;7;7;566;6.3;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.01;0.02;0.00;0.02;Matches;cc77354e
217;Harry Kane;eng ENG;FW;Tottenham;29-090;1993;12;12;1065;11.8;10;1;8;2;3;3;0;0.85;0.08;0.93;0.68;0.76;8.5;6.2;2.2;8.4;0.72;0.19;0.91;0.52;0.71;Matches;21a66f6a
218;N'Golo Kanté;fr FRA;MF;Chelsea;31-211;1991;2;2;174;1.9;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.3;0.4;0.05;0.13;0.18;0.05;0.18;Matches;b9fbae28
219;Michael Keane;eng ENG;DF;Everton;29-288;1993;1;0;23;0.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;c5b7c315
220;Neeskens Kebano;cd COD;MF;Fulham;30-230;1992;11;8;647;7.2;0;3;0;0;0;0;0;0.00;0.42;0.42;0.00;0.42;0.4;0.4;1.3;1.7;0.06;0.18;0.24;0.06;0.24;Matches;18b999f4
221;Thilo Kehrer;de GER;DF;West Ham;26-035;1996;10;10;900;10.0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.2;0.5;0.03;0.02;0.05;0.03;0.05;Matches;51dbeea9
222;Lloyd Kelly;eng ENG;DF;Bournemouth;24-020;1998;5;5;450;5.0;0;2;0;0;0;0;0;0.00;0.40;0.40;0.00;0.40;0.0;0.0;0.1;0.1;0.00;0.03;0.03;0.00;0.03;Matches;f31def1e
223;Max Kilman;eng ENG;DF;Wolves;25-156;1997;12;12;1080;12.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.5;0.5;0.0;0.5;0.04;0.00;0.04;0.04;0.04;Matches;d0f72bf1
224;Mateusz Klich;pl POL;MFFW;Leeds United;32-135;1990;11;0;199;2.2;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.2;0.3;0.06;0.09;0.15;0.06;0.15;Matches;282679b4
225;Robin Koch;de GER;DF;Leeds United;26-101;1996;11;11;945;10.5;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.01;0.00;0.01;0.01;0.01;Matches;ea6bc03a
226;Ibrahima Konaté;fr FRA;DF;Liverpool;23-154;1999;1;0;22;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;5ed9b537
227;Ezri Konsa;eng ENG;DF;Aston Villa;25-003;1997;12;11;991;11.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.5;0.5;0.5;0.9;0.04;0.04;0.09;0.04;0.09;Matches;0313a347
228;Kalidou Koulibaly;sn SEN;DF;Chelsea;31-128;1991;8;7;652;7.2;1;0;1;0;0;3;1;0.14;0.00;0.14;0.14;0.14;0.3;0.3;0.2;0.5;0.04;0.02;0.06;0.04;0.06;Matches;da974c7b
229;Cheikhou Kouyaté;sn SEN;MFDF;Nott'ham Forest;32-309;1989;9;6;489;5.4;1;0;1;0;0;2;0;0.18;0.00;0.18;0.18;0.18;0.3;0.3;0.4;0.7;0.06;0.07;0.13;0.06;0.13;Matches;8d3c902d
230;Mateo Kovačić;hr CRO;MF;Chelsea;28-173;1994;8;3;442;4.9;0;1;0;0;0;1;0;0.00;0.20;0.20;0.00;0.20;0.2;0.2;0.5;0.7;0.05;0.10;0.15;0.05;0.15;Matches;79c0821a
231;Emil Krafth;se SWE;DF;Newcastle Utd;28-085;1994;1;0;1;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;77cf6852
232;Dejan Kulusevski;se SWE;MF;Tottenham;22-184;2000;7;6;499;5.5;1;3;1;0;0;0;0;0.18;0.54;0.72;0.18;0.72;0.8;0.8;1.6;2.3;0.14;0.28;0.42;0.14;0.42;Matches;df3cda47
233;Layvin Kurzawa;fr FRA;DF;Fulham;30-052;1992;1;1;44;0.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;41e7ef1c
234;Adam Lallana;eng ENG;MFFW;Brighton;34-169;1988;8;5;357;4.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.6;1.1;0.11;0.15;0.26;0.11;0.26;Matches;99813635
235;Tariq Lamptey;gh GHA;DFMF;Brighton;22-026;2000;9;0;160;1.8;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.01;0.01;0.00;0.01;Matches;f4e433d4
236;Manuel Lanzini;ar ARG;MF;West Ham;29-253;1993;4;1;99;1.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.05;0.00;0.05;0.05;0.05;Matches;26f6dca8
237;Aymeric Laporte;es ESP;DF;Manchester City;28-152;1994;2;1;106;1.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.11;0.00;0.11;0.11;0.11;Matches;119b9a8e
238;Juan Larios;es ESP;DF;Southampton;18-287;2004;4;1;119;1.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;cf7fb13a
239;Jamaal Lascelles;eng ENG;DF;Newcastle Utd;28-349;1993;3;1;99;1.1;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;450ab6fc
240;Roméo Lavia;be BEL;MF;Southampton;18-293;2004;5;5;419;4.7;1;0;1;0;0;1;0;0.21;0.00;0.21;0.21;0.21;0.2;0.2;0.1;0.3;0.04;0.03;0.07;0.04;0.07;Matches;ecad9aa5
241;Clément Lenglet;fr FRA;DF;Tottenham;27-131;1995;5;4;335;3.7;0;1;0;0;0;0;0;0.00;0.27;0.27;0.00;0.27;0.2;0.2;0.4;0.5;0.05;0.10;0.14;0.05;0.14;Matches;4f28a6ff
242;Bernd Leno;de GER;GK;Fulham;30-236;1992;10;10;900;10.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;2628fd2b
243;Jefferson Lerma;co COL;MFDF;Bournemouth;28-001;1994;12;12;1080;12.0;2;0;2;0;0;2;0;0.17;0.00;0.17;0.17;0.17;1.0;1.0;0.2;1.2;0.08;0.01;0.10;0.08;0.10;Matches;9b5ce51a
244;Jamal Lewis;nir NIR;DF;Newcastle Utd;24-274;1998;1;0;8;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;efb9215a
245;Rico Lewis;eng ENG;DFMF;Manchester City;17-339;2004;3;0;38;0.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;b57e066e
246;Keane Lewis-Potter;eng ENG;FWMF;Brentford;21-246;2001;5;2;212;2.4;0;1;0;0;0;0;0;0.00;0.42;0.42;0.00;0.42;0.4;0.4;0.8;1.2;0.18;0.35;0.53;0.18;0.53;Matches;41f08ac8
247;Victor Lindelöf;se SWE;DF;Manchester Utd;28-101;1994;3;1;172;1.9;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;f5deef4c
248;Jesse Lingard;eng ENG;MFFW;Nott'ham Forest;29-315;1992;10;8;662;7.4;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.4;1.0;0.09;0.05;0.14;0.09;0.14;Matches;810e3c74
249;Diego Llorente;es ESP;DF;Leeds United;29-071;1993;7;7;630;7.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;0.0;0.7;0.10;0.00;0.10;0.10;0.10;Matches;bba30585
250;Hugo Lloris;fr FRA;GK;Tottenham;35-304;1986;12;12;1080;12.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;8f62b6ee
251;Renan Lodi;br BRA;DF;Nott'ham Forest;24-201;1998;5;4;357;4.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.1;0.5;0.09;0.03;0.12;0.09;0.12;Matches;ed9f7cfe
252;Ruben Loftus-Cheek;eng ENG;MFDF;Chelsea;26-276;1996;11;9;781;8.7;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.8;0.8;0.7;1.5;0.09;0.08;0.17;0.09;0.17;Matches;e97fd090
253;Sean Longstaff;eng ENG;MF;Newcastle Utd;24-361;1997;12;8;786;8.7;1;2;1;0;0;1;0;0.11;0.23;0.34;0.11;0.34;0.5;0.5;1.7;2.3;0.06;0.20;0.26;0.06;0.26;Matches;a2b105e0
254;Jamal Lowe;jm JAM;FW;Bournemouth;28-097;1994;1;0;1;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;b2856bc0
255;Douglas Luiz;br BRA;MF;Aston Villa;24-170;1998;11;7;668;7.4;1;1;1;0;0;1;1;0.13;0.13;0.27;0.13;0.27;0.2;0.2;1.1;1.3;0.03;0.14;0.18;0.03;0.18;Matches;6f7d826d
256;Lyanco;br BRA;DF;Southampton;25-267;1997;5;1;127;1.4;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.05;0.00;0.05;0.05;0.05;Matches;b5bf1770
257;Alexis Mac Allister;ar ARG;MF;Brighton;23-306;1998;11;11;986;11.0;4;0;1;3;3;4;0;0.37;0.00;0.37;0.09;0.09;3.0;0.6;0.3;0.9;0.27;0.03;0.30;0.06;0.08;Matches;83d074ff
258;James Maddison;eng ENG;MFFW;Leicester City;25-337;1996;10;10;894;9.9;6;2;6;0;0;5;0;0.60;0.20;0.81;0.60;0.81;1.9;1.9;1.6;3.5;0.19;0.16;0.35;0.19;0.35;Matches;ee38d9c5
259;Harry Maguire;eng ENG;DF;Manchester Utd;29-235;1993;3;2;191;2.1;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.2;0.10;0.01;0.12;0.10;0.12;Matches;d8931174
260;Riyad Mahrez;dz ALG;MFFW;Manchester City;31-247;1991;9;4;372;4.1;1;0;1;0;0;1;0;0.24;0.00;0.24;0.24;0.24;1.2;1.2;0.5;1.7;0.30;0.12;0.41;0.30;0.41;Matches;892d5bb1
261;Ainsley Maitland-Niles;eng ENG;MF;Southampton;25-058;1997;4;3;245;2.7;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;e3a5814e
262;Tyrell Malacia;nl NED;DF;Manchester Utd;23-070;1999;7;5;451;5.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.01;0.00;0.01;0.01;0.01;Matches;6b6c793c
263;Orel Mangala;be BEL;MF;Nott'ham Forest;24-222;1998;7;3;267;3.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.2;0.06;0.02;0.08;0.06;0.08;Matches;a572e291
264;Sekou Mara;fr FRA;FWMF;Southampton;20-088;2002;8;2;209;2.3;0;1;0;0;0;0;0;0.00;0.43;0.43;0.00;0.43;0.7;0.7;0.5;1.2;0.28;0.21;0.50;0.28;0.50;Matches;3544641e
265;Solly March;eng ENG;DFMF;Brighton;28-098;1994;11;11;944;10.5;0;2;0;0;0;1;0;0.00;0.19;0.19;0.00;0.19;2.3;2.3;0.9;3.2;0.22;0.09;0.31;0.22;0.31;Matches;bb5fbd2b
266;Emiliano Marcondes;dk DEN;MF;Bournemouth;27-231;1995;1;0;9;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;4d960fc3
267;Marquinhos;br BRA;MF;Arsenal;19-202;2003;1;0;1;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;59878425
268;Anthony Martial;fr FRA;FW;Manchester Utd;26-325;1995;3;1;105;1.2;2;2;1;1;1;0;0;1.71;1.71;3.43;0.86;2.57;1.3;0.5;0.7;1.2;1.09;0.61;1.70;0.41;1.02;Matches;8b788c01
269;Martinelli;br BRA;MFFW;Arsenal;21-130;2001;11;11;940;10.4;4;2;4;0;0;1;0;0.38;0.19;0.57;0.38;0.57;2.5;2.5;3.0;5.5;0.24;0.28;0.53;0.24;0.53;Matches;48a5a5d6
270;Emiliano Martínez;ar ARG;GK;Aston Villa;30-054;1992;12;12;1080;12.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.01;0.01;0.00;0.01;Matches;7956236f
271;Lisandro Martínez;ar ARG;DF;Manchester Utd;24-281;1998;11;11;934;10.4;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.01;0.00;0.01;0.01;0.01;Matches;bac46a10
